说话人1/2	中文文本	英文翻译	补充成分	补充句子
	1 10	1 10		
1	我们现在可以讨论了是吧	We can discuss it now, right?		
1	庭审结束了，我们可以讨论了	The court hearing is over, we can discuss it.		
2	是的，可以讨论	Yes, we can.	we	是的，我们可以讨论
2	还可以骂街，想做什么都行	And we can curse in public, do whatever we want.	we	我们还可以骂街，我们想做什么都行
1	那么大家去下洗手间,回来再进入正题	So everybody can go to the bathroom now, we'll get right to the point after that.		
				
	2 205	2 205		
1	我们要多花些钱	We need to spend more money.		
1	请一个更好的弹道专家	on a better ballistic expert.		
2	拜托你了，可以吗	Please, can we?		
2	花多少都行	I don't care about the expense.		
2	我就这么一个孩子	I have only one kid.		
				
	3 312	3 312		
1	我不知道是否该让比安卡作证	I don't know if I should ask Bianca to testify.		
2	你准备好盘问比安卡了吗	Are you ready to interrogate Bianca?		
1	我。。。是的	I'm...ready.		
2	如果这么做会让她很难过的	It would made her sad.		
				
	4 913	4 913		
1	比安卡和她母亲要和我们谈谈	Bianca and her mother wanna talk to us.		
2	天啊	Oh my god.		
2	凯里在哪儿 得找他来	Where's Kerry? We need to find him.	we	凯里在哪儿 我们得找他来
1	为什么	Why?		
2	只有凯里能和她谈谈	Only Kerry can talk to her.		
				
	5 1051	5 1051		
1	乖点听爸爸的话	Behave yourself and listen to daddy.		
1	今晚见	I'll see you tonight.	you	今晚见你
2	我不能送孩子们上学	I can't take the children to school.		
2	一直都是你送的	You are always the one who take the children to school.		
1	我今天必须早上班	I have to go to work early today.		
2	现在就在上班了 也太早了	Now? Isn't it too early?		
				
	6 3012	6 3012		
1	这不是胡安妮塔的错	It's not Juanita's fault.		
1	你不要怪她	Don't blame her.		
1	要怪就怪她父母	You should blame her parents.	you	你要怪就怪她父母
1	只是可怜了胡安妮塔这个孩子	Poor Juanita.		
				
	7 3302	7 3302		
1	这家商店怎么停电了	Why is this shop out of power?		
2	不好意思 先生	Sorry, sir.		
1	没关系 	It's okay.		
1	是没付电费吧	Didn't you pay the electricity bill?	you	你是没付电费吧
				
	8 5185	8 5185		
1	保险柜你找到了没	Have you found the safe box?		
1	我已经等不及了	I can't wait.		
2	找到了	Yes, I have.	I	我找到了
2	已经打开了	And I've already opened it.	I	我已经打开了
				
	9 9137	9 9137		
1	圣经凭空消失了 无迹可寻	The Bible just gone with no trace.		
2	让警察到那个教区核对指纹	Have the police check fingerprints in that parish.		
2	我预感会有所收获的	I think we'll find out something.	we	我预感我们会有所收获的
1	可为什么要偷圣经呢	But why would anyone wanna stole the Bible?		
				
	10 11156	10 11156		
1	她怎么了	What happened to her?		
1	是不是哭了	Is she crying?	she	她是不是哭了
2	是啊	Yeah.		
2	弄得我焦头烂额	She drives me crazy.	she	她弄得我焦头烂额
2	除了见不得女人落泪 其他的事我都能搞定	I can handle everything except a crying woman.		
				
	11 11228	11 11228		
1	话说找他喝酒的那个女人是谁啊	Who's the woman asked him to drink?		
2	我不认识 只知道是个记者	I don't know her. I only know she's a journalist.	she	我不认识她 只知道是个记者
2	她跟着约翰一起采访	She followed John in the interview.		
2	想找他做个跟踪报道	She wanted to ask him to do a follow-up story.	she	她想找他做个跟踪报道
				
	12 11643	12 11643		
1	来了一辆豪车	Here comes a luxury car.		
2	天呐 那司机看起来真眼熟	Oh my god. The driver looks familiar.		
1	是我们的人吗	Does he belong to us?	he	他是我们的人吗
2	没错 他叫山姆	Yes, he's Sam.		
2	别紧张 他人不错	Relax. He's nice.		
				
	13 12551	13 12551		
1	你怎么无精打采的 谁招惹你了	Why are you so down? What happened?		
2	太无聊了	I'm so bored.		
2	得整天盯着一大堆文件看	I need to spend time with a pile of papers entire day.	I	我得整天盯着一大堆文件看
				
	14 13718	14 13718		
1	尼尔检查了杜兰的所有信息	Neil's checked all the informations of Duran.		
1	他清白得出人意料	He was unexpectedlly innocent.		
2	当然是了	Of course.		
2	你怎么能怀疑杜兰呢	How can you doubt Duran?		
2	他从来不会撒谎	He would never lie.		
1	也许确实如此	Maybe you're right.		
				
	15 14386	15 14386		
1	我叫尼克 我想做你的股票经纪人	I'm Nick, I wanna be your stockbroker.		
2	我有经纪人了	I've already got a stockbroker.		
2	是吗 他干的怎么样	Really? How's his work?		
2	去年给你赚钱了吗	Has he made you money last year?	he	去年他给你赚钱了吗
1	去年经济危机 谁赚钱了啊	The economic crisis was in last year, nobody could make money.		
				
	16 14984	16 14984		
1	你在庆祝什么	What are you celebrating?		
1	我们还有几场比赛	We've got few games left.		
1	下个礼拜才有得可庆祝	We have nothing to celebrate until next week.	we	下个礼拜我们才有得可庆祝
2	我们只是想放松一下	We just want to have a relax.		
2	我觉得大家的努力工作 值得这点小小的奖励	I think our hard work deserves a little reward.		
				
	17 15516	17 15516		
1	琼斯在吗 找他帮个忙	Is Jones there? I need him to do me a favor.	I	琼斯在吗 我找他帮个忙
2	不在 找他帮什么忙	He's not here. What do you need from him?	you	不在 你找他帮什么忙
1	帮我查一下这上面的指纹	Check the fingerprints on this for me.		
1	看看能不能找到指纹的主人	See if we can find the owner of these fingerprints.		
2	好吧 琼斯出去了 明天再来找他吧	Okay, Jones's out. You can find him tomorrow.		
				
