编号	说话人1/2	中文文本	英文文本	补充成分	补充句子	错别字
201	1	威尔 听着	Will, listen!			
	1	我知道你已经尽力了	I know you've done your best.			我知道你以经尽力了
	2	不说这个了	There's no need to say this.			
	2	一周后我们一起吃饭吧	Let's have a dinner in a week.			一周后我么一起吃饭把
	1	到时候再说吧	Let's talk about it again later.			
	1	先去你卧室吧	Now, go to your bedroom!			
						
202	1	都准备好了吗	Are you ready?	you	你都准备好了吗	
	1	要不要先投个票	Do you want to vote first?	you	你要不要先投个票	
	2	对 好主意	Yes, that's a good idea.			
	2	每个人拿张便笺	And everyone here takes a note.			
	2	当你们投票时 务必扪心自问	You have to examine your own conscience when you vote.			当你们投票时 务必蒙心自问
	2	这名年轻女子	The young girl,			
	2	下的了杀手吗	would she make a heartless killing？	she	她下的了杀手吗	
						
203	1	你是这儿管事的？	Are you the leader here?			
	2	我是 有什么问题吗	Yes. What's the problem?			
	1	问题是 安德斯先生是我们荷兰使馆外交信使的儿子	The problem is that Mr. Anders is Embassy of the Kingdom of the Netherlands Diplomatic Courier's son.			
	1	所以有外交豁免权	So the Diplomatic immunity existed.			所已有外交豁免权
	2	我当时不在场	I wasn't here at that time.			
						
204	1	有什么要帮忙的吗	Do you need any help?	you	你有什么要帮忙的吗	
	2	不用了	No.			
	2	你下次碰到电脑技术问题找我	If you have any IT problems, please contact me instantly.			
	2	不要自己瞎弄	But not repair it without any minds yourself.			
	2	你看看这个 一堆烂摊子	You've made an awful mess like this.			
						
205	1	你在湖边闲逛在找你的前妻们吗	Do you want to stroll around the lake for coming across your ex-wives?			你在湖边闲逛在找你的前期们吗
	2	没有 就找你	No, I'm looking for you.	I	没有 我就找你	
	2	你办公室的人说你会在这里	Your colleagues said you'd be here.			
	1	总统大选进行得如何	How did the presidential election go?			总统大选进行的如何
	2	为何这么问 你听说什么了	Why are you asking? What have you heard?			
	1	你想多了	You overthought it.			
						
206	1	那么 你与戈登先生曾是夫妻？	So you and Mr. Gordon were husband and wife?			
	2	有四年很幸福 八年还行 两年很糟	Four years are good, eight years are ok, two years are bad.			
	2	我希望不要为此就无法参选	I hope it doesn't make me unelectable.			
	1	我只是来问些问题 并不会做评价	I'm just here to ask some questions and not to evaluate.			我只是来问些问题 并不会坐评价
	1	那你们为什么分手呢	So why did you break up？			
	2	这些在离婚协议里已经写了吧	That was written in the divorce agreement.			
	1	没有 里面只写了“矛盾不可调和”	No, it just says "irreconcilable."			
	2	没错 就是那样的	Yes. That's right.			
						
207	1	我在想 戈班扎女士	I was thinking, Ms. Gobanza.			
	1	你到底在为谁工作	Who the hell are you working for?			
	2	当然是。。。州长	Of course...The governor.			
	1	那你为什么隐瞒实情	Then why are you hiding the truth?			
	1	你来这里其实是为了探查	You're actually here to probe			
	1	彼得关于互联网商务税收的演讲	Peter's speech on Internet Business Taxation.			
	2	我。。。	I...			
	1	我收到了消息	I got a message.			我受到了消息
	1	有人匿名给我办公室打电话	Someone called my office anonymously,			
	1	声称彼得利用州长的话语优势帮助了你	who claiming that Peter took advantage of the governor's words to help you.			
						
208	1	你能告诉我凶案发生那晚发生了什么吗	Can you tell me what happened on the night of the murder?			
	2	当时我们在举行百家宴	We were having a baccarat at that time.			
	1	抱歉 我不太明白	Sorry, I don't understand.			
	1	百家宴是什么	⁣What is a baccarat?			
	2	整条街上的邻居共同举办	⁣It is hold by the whole neighborhood down the street,			
	2	每家准备一道特定的菜	each family prepare a definite dish.			每家准备一到特定的菜
	1	好像挺有意思	⁣That sounds interesting.			
	2	不会下厨就体验不到这乐趣	You can't have fun without cooking.	you	你不会下厨就体验不到这乐趣	不会下厨就体验不道这乐趣
	2	当晚大家就跳过了我家	They skipped my house that night.			
						
209	1	求你了 我想一个人待会儿	Please, I want to be alone.			
	2	你先得告诉我这是怎么回事	You gotta tell me what happened.			
	1	我告诉过你的	I told you before.			
	1	我那时处境绝望 又开始酗酒	I was desperate that time and now I started drinking again.			我那时处境绝望 有开始酗酒
	1	朋友们都弃我而去	All my friends have deserted me.			朋友门都弃我而去
	1	但我没有杀人	But I didn't kill anyone.			
	1	你一定要相信我	You have to believe me.			
	2	我相信你	I believe you.			
	2	我只是希望陪审团也能相信	I just hope the jury believes it, too.			
						
210	1	大卫 每月来检查 没商量	David, come to check monthly, no arguments.			大卫 每月来检察 没商量
	2	晓得了 医生	Got it, doctor.			
	2	不过你真不用为我担心 我好得很	But you really don't have to worry about me. I am very good.			
	1	一个月后我和你面谈	I'll have an interview with you in a month.			
	2	告诉我吧	Please tell me.			
	2	我到底要怎么说	What am I supposed to say,			
	2	你们才肯放我出去	you will let me out.			
	1	大卫 你在这里呆了六个月了	David, you've been here for six months.			
	1	丝毫不见你的精神状态有好转	There's not the slightest improvement in your mental state.			
	2	我调整过 而且我觉得我很正常	I adjusted and I think I'm normal.			
	1	你没有被判罪是因为你自愿入院	You weren't convicted because you volunteered to go to the hospital.			你妹有被判罪是因为你自愿入院
	1	看不到你有真的好转	If I don't see you getting any better,	I	我看不到你有真的好转	
	1	我是不会批准你出院的	I'm not going to allow you to leave the hospital.			
						
211	1	我胃里不舒服	I have a stomachache.			
	2	那你吃点则百思呗	Then you eat The Best.			
	1	还是算了吧	Well, I'd better not.	I	我还是算了吧	
	1	目前 海伦已经查清	At present, Helen has found out.			
	1	那些号码是则百思样品的序列号	Those numbers are the serial numbers of the Best sample.			
	1	她正要去拿备忘录	She was on her way to pick up the memo.			
	2	这真让我震惊 她居然是那种	I was shocked that she was that kind of person			这真让我震惊 他居然是那种
	2	不计代价只求结果的人	who wants results at all costs.			不急代价只求结果的人
	1	这点让我很苦恼	This bothers me a lot.			
	1	沙利文知道她在调查公司	Sullivan knew she was researching the company.			
	1	而她一定要查出他所隐瞒的事实	And she must find out what he has hidden.			
						
212	1	关于凯勒 你都知道些什么	What do you know about Keller?			关于凯勒 你都知道写什么
	2	他是个国际象棋高手	He is a good chess player.			
	2	他会提前想好十步甚至是十二步棋	He would make ten or even twelve moves in advance.			
	1	所以说他们做的每件事	So everything they did:			
	1	派出直升机 探员们挨家排查	they sent the helicopter, agents went from house to house...			排出直升机 探员们挨家排查
	1	他会预料到	He would predict.			
	1	他们不知道他的目的	they did not know his purpose.			
	2	是的	Yes.			
						
213	1	要距离多近 这个东西才能起作用	How close does it have to be for this thing to work?			
	2	潜艇上的求救信号	A distress call from a submarine.			
	2	被设计成被动模式	is designed to be passive,			被涉及成被动模式
	2	也就是说我们得站在潜艇上	which means we have to stand on the submarine			
	2	才能检测到	that it can detect it.			
	1	真不愿意带着你和那个玩意儿	I hate to bring you and that thing	I	我真不愿意带着你和那个玩意儿	
	1	在东海岸瞎逛	bumming around the East Coast.			
